date,time,COND,,FC,,FLOW,,NH3_N,,NO2_NO3,,OP_DIS,,OXYGEN,,PH,,PRESS,,SUSSOL,,TEMP,,TP_P,,TP_PInLine,,TP_P_ICP,,TPN,,TURB,,Turb-JTU,
,,(umhos/cm),,(#/100ml),,(CFS),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(pH),,(mm/Hg),,(mg/L),,(deg C),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(NTU),,(JTU),
10/10/1972,17:10,390,,40,U,,,0.24,,,,0.01*,U,11.5,,8.7,,,,,,11.3,,0.04,,,,,,,,,,4,
10/31/1972,12:50,315,,20,U,,,0.07,,,,0.01*,U,14.6,,8.6,,,,,,4,,0.04,,,,,,,,,,4,
11/19/1972,12:10,30,,20,U,,,0.11,,,,0.01*,U,13.8,,7.8,,,,,,6.1,,0.05,,,,,,,,,,4,
11/29/1972,12:10,320,,20,U,,,0.06,,,,0.03,,14.1,,7.5,,,,,,2.3,,0.04,,,,,,,,,,0.1*,U
12/27/1972,11:20,140,,1000,,,,0.92,,,,0.01,,11.7,,7.2,,,,,,4,,1.1,,,,,,,,,,500,
1/18/1973,12:10,104,,800,,,,0.36,,,,0.09,,13.2,,7.4,,,,,,2,,0.23,,,,,,,,,,1300,
2/6/1973,13:30,250,,100,,,,0.85,,,,0.07,,13.3,,7.9,,,,,,0.6,,0.56,,,,,,,,,,90,
2/22/1973,12:00,150,,200,,,,0.63,,,,0.13,,13,,7.7,,,,,,2.8,,0.28,,,,,,,,,,600,
2/27/1973,12:40,130,,700,,,,0.64,,,,0.08,,13.2,,7.6,,,,,,6.9,,0.82,,,,,,,,,,730,
3/13/1973,10:05,140,,200,,,,0.1,,,,0.08,,11.8,,7.7,,,,,,3.8,,1.8,,,,,,,,,,500,
3/27/1973,13:30,170,,100,U,,,,,,,0.01*,U,10.4,,7.9,,,,,,9.4,,0.18,,,,,,,,,,50,
4/10/1973,11:00,200,,40,U,,,0.18,,,,0.06,,11.1,,8.2,,,,,,12.4,,0.16,,,,,,,,,,20,
4/24/1973,13:50,220,,20,U,,,0.19,,,,0.04,,11.2,,8.7,,,,,,16.1,,0.11,,,,,,,,,,20,
6/12/1973,13:20,360,,50,,,,0.12,,,,0.03,,12.2,,8.7,,,,,,20,,0.05,,,,,,,,,,3,
6/26/1973,11:30,380,,80,G,,,0.1,,,,0.02,,12.2,,8.7,,,,,,21.2,,0.04,,,,,,,,,,2,
7/11/1973,11:00,390,,45,,,,0.17,,,,0.01,,11.7,,8.6,,,,,,19,,0.03,,,,,,,,,,4,
7/24/1973,10:50,243,,30,,,,0.05,,,,0.01*,U,11.6,,8.5,,,,,,18,,0.03,,,,,,,,,,15,
8/7/1973,11:25,420,,30,,,,0.05,,,,0.01*,U,11.4,,8.5,,,,,,20,,0.01,,,,,,,,,,5,
8/21/1973,10:35,440,,,,,,0.06,,,,0.01*,U,12.5,,8,,,,,,17.6,,0.05,,,,,,,,,,2,
9/12/1973,11:05,420,,53,,,,0.08,,,,0.01*,U,9.9,,8.4,,,,,,17.3,,0.05,,,,,,,,,,9,
9/25/1973,10:40,380,,80,G,,,0.09,,,,0.01*,U,11.5,,8.2,,,,,,12.2,,0.03,,,,,,,,,,3,
